"nome_drs";"casos";"obitos";"casos_novos";"obitos_novos";"pop";"casos_pc";"obitos_pc"
"";56;0;-17;-1;0;Inf;NA
"Franca";146;4;9;0;634336;23,0161933108006;0,630580638652071
"Araraquara";347;12;33;1;961029;36,1071310022903;1,2486615908573
"Registro";317;12;31;0;274347;115,547099111709;4,37402267930759
"Barretos";242;14;23;2;416293;58,1321328967818;3,36301595270639
"Araçatuba";349;18;21;0;711150;49,0754411868101;2,53111157983548
"São João da Boa Vista";212;18;8;1;809836;26,1781397715093;2,22267224475079
"Marília";305;21;24;3;903587;33,7543590157893;2,32407062075926
"Presidente Prudente";322;26;6;0;665390;48,3926719668165;3,90748282961872
"Piracicaba";734;41;31;0;1518480;48,3378114957062;2,70006848954217
"Ribeirão Preto";799;42;76;2;1427144;55,9859411523995;2,94294058623376
"São José do Rio Preto";912;42;45;2;1430370;63,759726504331;2,9363031942784
"Bauru";1086;56;71;3;1655362;65,6049854956197;3,38294584507799
"Taubaté";1453;61;81;2;2451247;59,2759521990236;2,48852930773602
"Sorocaba";1429;75;84;4;2435936;58,6632817939388;3,07889862459441
"Campinas";3158;167;202;5;4554376;69,3399051813026;3,66680309223481
"Baixada Santista";3415;229;187;4;1831884;186,420100836079;12,5007915348352
"Grande São Paulo";58457;4720;2965;167;21138247;276,54611094288;22,3291931445403
