munic;casos;obitos;dia;mes;codigo_ibge;latitude;longitude
aguas de lindoia;   1;NA;26; 3;3500501;-224733;-466314
agudos;   1;NA;26; 3;3500709;-224694;-489863
americana;   3;  2;26; 3;3501608;-227374;-473331
araraquara;   2;NA;26; 3;3503208;-217845; -48178
aracatuba;   4;NA;26; 3;3502804;-212076;-504401
aruja;   6;  1;26; 3;3503901;-233965;  -4632
assis;   1;NA;26; 3;3504008;  -2266;-504183
atibaia;   4;NA;26; 3;3504107;-231171;-465563
barueri;  30;  1;26; 3;3505708;-235057; -46879
bauru;   3;  1;26; 3;3506003;-223246;-490871
botucatu;   7;NA;26; 3;3507506;-228837;-484437
brodowski;   1;NA;26; 3;3507803;-209845;-476572
cachoeira paulista;   1;NA;26; 3;3508603;-226665;-450154
caieiras;  20;NA;26; 3;3509007;-233607;-467397
cajamar;   1;NA;26; 3;3509205; -23355;-468781
campinas;  26;  4;26; 3;3509502;-229053;-470659
carapicuiba;  14;  1;26; 3;3510609;-235235;-468407
cedral;   1;NA;26; 3;3511300;-209009;-492664
cotia;  29;NA;26; 3;3513009;-236022; -46919
cravinhos;   2;  1;26; 3;3513108; -21338;-477324
diadema;  24;NA;26; 3;3513801;-236813;-466205
dracena;   1;  1;26; 3;3514403;-214843; -51535
embu das artes;  20;NA;26; 3;3515004;-236437;-468579
ferraz de vasconcelos;  15;NA;26; 3;3515707;-235411; -46371
franca;   2;NA;26; 3;3516200;-205352;-474039
francisco morato;   8;NA;26; 3;3516309;-232792;-467448
franco da rocha;   8;  1;26; 3;3516408;-233229; -46729
guararapes;   2;NA;26; 3;3518206;-212544;-506453
guaruja;   3;NA;26; 3;3518701;-239888; -46258
guarulhos;  62;NA;26; 3;3518800;-234538;-465333
hortolandia;   1;NA;26; 3;3519071;-228529;-472143
indaiatuba;   2;NA;26; 3;3520509;-230816;-472101
iracemapolis;   1;NA;26; 3;3521408;-225832; -47523
itanhaem;   2;NA;26; 3;3522109;-241736; -46788
