local;datahora;casos_acum;obitos_acum
Brasil;2020-02-25;0;0
Brasil;2020-02-26;1;0
Brasil;2020-02-27;1;0
Brasil;2020-02-28;1;0
Brasil;2020-02-29;2;0
Brasil;2020-03-01;2;0
Brasil;2020-03-02;2;0
Brasil;2020-03-03;2;0
Brasil;2020-03-04;3;0
Brasil;2020-03-05;7;0
Brasil;2020-03-06;13;0
Brasil;2020-03-07;19;0
Brasil;2020-03-08;25;0
Brasil;2020-03-09;25;0
Brasil;2020-03-10;34;0
Brasil;2020-03-11;52;0
Brasil;2020-03-12;77;0
Brasil;2020-03-13;98;0
Brasil;2020-03-14;121;0
Brasil;2020-03-15;200;0
Brasil;2020-03-16;234;0
Brasil;2020-03-17;291;1
Brasil;2020-03-18;428;4
Brasil;2020-03-19;621;6
Brasil;2020-03-20;904;11
Brasil;2020-03-21;1128;18
Brasil;2020-03-22;1546;25
Brasil;2020-03-23;1891;34
Brasil;2020-03-24;2201;46
Brasil;2020-03-25;2433;57
Brasil;2020-03-26;2915;77
Brasil;2020-03-27;3417;92
Brasil;2020-03-28;3903;114
Brasil;2020-03-29;4256;136
Brasil;2020-03-30;4579;159
Brasil;2020-03-31;5717;201
Brasil;2020-04-01;6834;241
Brasil;2020-04-02;7910;299
Brasil;2020-04-03;9056;359
Brasil;2020-04-04;10278;432
Brasil;2020-04-05;11130;486
Brasil;2020-04-06;12056;553
Brasil;2020-04-07;13717;667
Brasil;2020-04-08;15927;800
Brasil;2020-04-09;17857;941
Brasil;2020-04-10;19638;1056
Brasil;2020-04-11;20727;1124
Brasil;2020-04-12;22169;1223
Brasil;2020-04-13;23430;1328
Brasil;2020-04-14;25262;1532
Brasil;2020-04-15;28320;1736
Brasil;2020-04-16;30425;1924
Brasil;2020-04-17;33682;2141
Brasil;2020-04-18;36599;2347
Brasil;2020-04-19;38654;2462
Brasil;2020-04-20;40581;2575
Brasil;2020-04-21;43079;2741
Brasil;2020-04-22;45757;2906
Brasil;2020-04-23;49492;3313
Brasil;2020-04-24;52995;3670
Brasil;2020-04-25;58509;4016
Brasil;2020-04-26;61888;4205
Brasil;2020-04-27;66501;4543
Brasil;2020-04-28;71886;5017
Brasil;2020-04-29;78162;5466
Brasil;2020-04-30;85380;5901
Brasil;2020-05-01;91299;6329
