nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude
Arujá;3503901;26;3;2020-03-26;    1;NA;   1,1142806;NA;   0;NA; 0,00000000;NA;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   89744;  10776;  9617;<10;7;-23.3965;-46.32
Barueri;3505708;26;3;2020-03-26;    3;NA;   1,1346874;NA;   0;NA; 0,00000000;NA;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  264390;  29409;   657;<10;7;-23.5057;-46.879
Caieiras;3509007;26;3;2020-03-26;    2;NA;   1,9878345;NA;   0;NA; 0,00000000;NA;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  100612;  12059;  9764;<10;7;-23.3607;-46.7397
Campinas;3509502;26;3;2020-03-26;    4;NA;   0,3402804;NA;   0;NA; 0,00000000;NA;0,000000000;RA de Campinas; 4;Campinas; 3; 1175501; 192796; 79457;<10;7;-22.9053;-47.0659
Carapicuíba;3510609;26;3;2020-03-26;    2;NA;   0,5068449;NA;   0;NA; 0,00000000;NA;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  394598;  50996;  3455;<10;7;-23.5235;-46.8407
Cotia;3513009;26;3;2020-03-26;    5;NA;   2,0208226;NA;   0;NA; 0,00000000;NA;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  247424;  28357; 32399;<10;7;-23.6022;-46.919
Embu das Artes;3515004;26;3;2020-03-26;    1;NA;   0,3692899;   2,5714286;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  270790;  29639;   704;<10;7;-23.6437;-46.8579
Guarulhos;3518800;26;3;2020-03-26;    9;NA;   0,6660376;   3,7142857;   1;NA; 0,07400418;  0,1428571;0,111111111;RM de São Paulo;10;Grande São Paulo;10; 1351275; 162662; 31868;<10;7;-23.4538;-46.5333
Hortolândia;3519071;26;3;2020-03-26;    1;NA;   0,4342766;   3,4285714;   0;NA; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Campinas; 3;  230268;  26129;  6242;<10;7;-22.8529;-47.2143
Iracemápolis;3521408;26;3;2020-03-26;    1;NA;   4,2276148;   3,2857143;   0;NA; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Piracicaba;11;   23654;   3298; 11512;<10;7;-22.5832;-47.523
Jaguariúna;3524709;26;3;2020-03-26;    1;NA;   1,8232205;   2,8571429;   0;NA; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Campinas; 3;   54848;   7339; 14139;<10;7;-22.7037;-46.9851
Jundiaí;3525904;26;3;2020-03-26;    2;NA;   0,4913812;   2,8571429;   0;NA; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Campinas; 3;  407016;  69839; 43121;<10;7;-23.1852;-46.8974
Louveira;3527306;26;3;2020-03-26;    2;NA;   4,1435319;   2,4285714;   0;NA; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Campinas; 3;   48268;   4812;  5513;<10;7;-23.0856;-46.9484
Mairiporã;3528502;26;3;2020-03-26;    1;NA;   1,0139725;   2,4285714;   0;NA; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   98622;  13203;  3207;<10;7;-23.3171;-46.5897
Mauá;3529401;26;3;2020-03-26;    2;NA;   0,4346579;   1,4285714;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  460132;  57797;  6191;<10;7;-23.6677;-46.4613
Mogi das Cruzes;3530607;26;3;2020-03-26;    7;NA;   1,6169829;   2,2857143;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  432905;  60748; 71254;<10;7;-23.5208;-46.1854
Osasco;3534401;26;3;2020-03-26;    3;NA;   0,4405519;   2,5714286;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  680964;  93147;  6495;<10;7;-23.5324;-46.7916
Poá;3539806;26;3;2020-03-26;    1;NA;   0,8655161;   2,5714286;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  115538;  15261;  1726;<10;7;-23.5333;-46.3473
