codigo_ibge;map_mun;cod_drs;cod_ra
3550308;23187;10;10
3534401;1040;10;10
3548708;905;10;10
3518800;946;10;10
3548500;805;13;12
3547809;759;10;10
3509502;559;3;4
3505708;447;10;10
3513801;405;10;10
3530607;356;10;10
3549904;296;17;15
3510609;317;10;10
3529401;280;10;10
3552809;238;10;10
3548807;257;10;10
3513009;223;10;10
3518701;212;13;12
3552502;228;10;10
3551009;219;13;12
3516408;163;10;10
3541000;186;13;12
3543402;165;1;11
3522505;160;10;10
3523107;169;10;10
3552205;172;6;13
3547304;185;10;10
3515004;170;10;10
3522208;150;10;10
3525904;201;3;4
3515707;132;10;10
3506003;145;12;3
3549805;134;15;14
3509007;113;10;10
3516309;109;10;10
3538709;126;11;4
3502804;82;7;1
3543303;80;10;10
3503208;87;8;5
3507506;84;12;13
3503901;82;10;10
3507605;78;3;4
3539806;74;10;10
3501608;56;3;4
3525003;87;10;10
3513504;45;13;12
3554102;45;17;15
3550704;84;17;15
3524402;44;17;15
3504107;39;3;4
3526902;47;11;4
3556701;40;3;4
3510500;48;17;15
3509205;64;10;10
3552403;64;3;4
3505500;55;16;2
3556206;38;3;4
3519071;66;3;4
3530706;28;14;4
3520509;33;3;4
3528502;45;10;10
3550605;24;6;13
3515103;39;10;10
3544103;25;10;10
3541406;33;2;9
3522604;19;14;4
3536208;51;9;16
3534708;20;5;8
3543907;20;11;4
3506508;35;7;1
3509601;24;3;4
3527108;21;12;3
3557105;20;15;14
3524303;17;1;11
3504503;27;12;13
3500709;18;12;3
3549102;23;14;4
3537602;25;13;12
3522109;18;13;12
3520426;15;9;16
3531308;17;1;11
3556503;25;3;4
3554003;20;6;13
3525300;44;12;3
3500303;15;14;4
3548906;16;8;5
3555406;15;17;15
3503307;30;11;4
3557006;16;6;13
3511102;29;15;14
3536505;26;3;4
3541505;16;2;9
3546801;20;10;10
3551702;13;1;11
3556453;16;10;10
3522307;25;6;13
3524501;18;15;14
3508504;12;17;15
3523909;22;6;13
3546405;26;5;8
3538808;15;12;7
3539103;19;10;10
3501905;15;3;4
3503109;10;12;7
3515509;12;15;14
3529005;18;5;8
3538006;15;17;15
3542602;25;9;16
3550100;14;12;13
3516200;23;4;6
3504008;19;5;8
3513108;9;1;11
3527306;17;3;4
3545308;8;6;13
3531100;13;13;12
3540606;9;6;13
3507001;13;6;13
3537800;28;6;13
3530102;16;7;1
3545209;11;6;13
3532009;7;3;4
3533403;12;3;4
3519709;9;6;13
3526704;10;11;4
3530300;9;15;14
3507803;10;1;11
3518206;11;7;1
3523404;14;3;4
3524709;23;3;4
3525102;7;1;11
3539301;27;11;4
3514403;12;2;9
3520400;8;17;15
3506102;7;16;2
3545803;7;3;4
3528403;7;6;13
3501707;8;8;5
3502101;16;7;1
3505302;9;12;3
3509254;5;9;16
3509908;9;9;16
3513405;11;17;15
3520301;11;9;16
3526407;5;12;13
3526803;9;12;3
3524006;8;3;4
3527207;7;17;15
3530805;4;14;4
3531803;11;3;4
3533908;5;16;2
3500501;4;3;4
3529302;5;8;5
3515152;8;11;4
3508108;7;7;1
3522406;18;6;7
3524808;4;15;14
3527405;13;5;9
3529807;6;12;3
3529906;6;9;16
3532405;5;3;4
3534302;4;4;6
3538105;6;15;14
3539400;5;12;3
3540200;4;1;11
3546900;5;8;5
3518305;14;10;10
3506607;10;10;10
3521903;6;15;14
3502754;3;6;13
3503604;5;12;13
3508603;5;17;15
3509700;4;17;15
3510203;5;6;7
3526209;5;10;10
3541604;4;12;3
3542206;3;2;9
3549706;4;14;4
3549953;8;10;10
3550209;11;6;13
3500105;8;5;9
3511003;2;7;1
3516705;6;5;8
3520202;17;17;15
3530508;8;14;4
3537909;9;6;13
3540705;3;8;5
3541703;3;2;8
3546603;4;15;14
3555000;3;5;8
3540408;4;15;14
3527009;3;3;4
3502200;2;6;7
3502903;6;6;13
3504602;4;15;14
3507456;3;12;3
3509403;3;1;11
3514809;3;9;16
3519402;2;15;14
3520103;1;4;6
3520442;3;7;1
3525706;3;15;14
3526605;2;17;15
3536703;2;12;3
3537206;3;9;16
3537305;4;7;1
3538600;6;3;4
3541059;3;12;13
3546009;2;17;15
3548203;2;17;15
3549409;3;4;6
3551504;21;1;11
3553104;3;16;2
3553906;2;2;9
3505906;2;1;6
3508405;4;3;4
3519055;4;3;4
3525508;3;3;4
3526001;8;2;9
3542008;2;5;8
3552106;3;3;4
3538303;3;2;9
3500600;1;11;4
3500758;1;6;13
3502507;1;17;15
3502705;1;6;7
3503406;1;12;3
3503802;5;3;4
3504206;0;7;1
3504305;1;12;3
3505203;1;12;3
3505401;2;9;16
3506409;1;7;1
3507100;3;3;4
3507407;2;8;5
3508900;1;2;9
3510302;2;6;13
3511300;1;15;14
3557204;1;5;8
3512308;1;12;13
3512407;7;11;4
3514007;1;8;5
3514502;1;12;3
3514908;1;11;4
3515186;1;14;4
3557303;1;14;4
3515202;1;15;14
3515400;6;12;7
3517406;2;16;2
3518404;5;17;15
3518909;1;7;1
3519907;1;2;9
3520004;6;12;3
3521408;13;11;4
3523206;3;6;7
3523503;3;12;13
3523602;1;11;4
3524105;1;4;6
3524204;2;16;2
3525201;1;3;4
3526100;2;9;16
3528007;2;12;3
3528205;0;15;14
3529203;3;2;9
3529708;1;4;6
3531506;1;16;2
3531902;4;4;6
3532603;1;15;14
3535309;1;5;8
3536570;2;12;3
3536802;1;3;4
3538204;1;3;4
3538907;1;12;3
3539509;1;1;11
3540903;1;1;11
3541109;1;12;3
3543709;3;8;5
3543808;2;5;8
3545001;4;10;10
3546207;3;11;4
3546702;1;11;4
3547502;1;1;5
3547908;1;1;11
3548054;4;7;1
3550407;27;11;4
3550803;2;14;4
3551603;2;3;4
3553401;2;15;14
3553807;2;12;7
3554409;2;16;2
3554953;2;3;4
3556909;1;16;2
3501301;3;2;9
3506805;5;12;3
3508702;1;14;4
3512001;1;16;2
3512803;6;3;4
3512902;2;15;14
3517703;1;4;6
3523305;3;9;16
3533502;5;15;14
3536257;1;15;14
3542404;2;2;9
3543006;4;6;7
3548005;6;3;4
3553708;1;8;5
3555109;14;2;9
3500204;1;15;14
3500402;1;14;4
3500550;0;12;13
3500808;0;2;9
3500907;0;16;2
3501004;0;1;11
3501103;0;7;1
3501152;0;6;13
3501202;0;15;14
3501400;0;5;8
3501509;0;5;8
3501806;0;15;14
3502002;0;11;4
3502309;3;12;13
3502408;0;2;9
3502606;0;15;14
3503000;0;4;6
3503158;0;17;15
3503356;0;5;8
3503505;0;17;15
3503703;0;15;14
3503950;0;15;14
3504404;0;7;1
3504701;0;12;3
3504800;0;15;14
3504909;0;17;15
3505005;0;12;7
3505104;0;7;1
3505351;0;6;7
3505609;1;1;11
3505807;0;5;8
3506201;0;7;1
3506300;1;5;8
3506359;2;13;12
3506706;0;8;5
3506904;0;12;13
3507159;0;6;7
3507209;0;5;8
3507308;0;12;3
3507704;0;7;1
3507753;1;7;1
3507902;0;12;4
3508009;0;6;7
3508207;0;4;6
3508306;0;12;3
3508801;0;12;3
3509106;0;2;9
3509304;2;16;2
3509452;0;6;7
3509809;0;5;8
3509957;0;17;15
3510005;2;5;8
3510104;0;8;5
3510153;0;5;8
3510401;0;11;4
3510708;0;15;14
3510807;0;14;4
3510906;0;1;11
3511201;0;15;14
3511409;1;12;13
3511508;0;6;13
3511607;0;6;13
3511706;4;11;4
