"nome_munic";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"codigo_ibge"
"Adamantina";"2020";"1723";"1822";"1673";"1880";"2179";"2608";"2688";"2427";"2327";"2301";"2461";"2407";"2116";"1745";"1385";"2152";3500105
"Adolfo";"2020";"165";"172";"188";"220";"238";"246";"264";"240";"223";"234";"248";"248";"240";"178";"155";"188";3500204
"Aguaí";"2020";"2377";"2370";"2328";"2378";"2837";"3100";"3117";"3062";"2539";"2212";"2108";"1935";"1718";"1316";"1021";"1190";3500303
"Águas da Prata";"2020";"377";"381";"416";"458";"536";"622";"626";"562";"505";"523";"510";"552";"493";"400";"315";"521";3500402
"Águas de Lindóia";"2020";"1223";"1292";"991";"1097";"1353";"1342";"1371";"1472";"1390";"1232";"1234";"1102";"974";"799";"617";"885";3500501
"Águas de Santa Bárbara";"2020";"381";"383";"366";"384";"509";"444";"400";"425";"392";"406";"385";"350";"319";"271";"230";"286";3500550
"Águas de São Pedro";"2020";"172";"162";"124";"164";"231";"264";"201";"209";"212";"201";"210";"208";"174";"153";"158";"279";3500600
"Agudos";"2020";"2286";"2372";"2312";"2396";"2912";"2987";"2965";"2887";"2722";"2510";"2224";"2037";"1791";"1448";"998";"1287";3500709
"Alambari";"2020";"371";"349";"378";"450";"553";"518";"513";"496";"413";"328";"309";"271";"263";"212";"158";"197";3500758
"Alfredo Marcondes";"2020";"183";"187";"185";"237";"265";"306";"318";"254";"269";"274";"274";"268";"233";"198";"177";"299";3500808
"Altair";"2020";"237";"245";"286";"275";"316";"330";"337";"374";"325";"273";"267";"219";"158";"129";"116";"149";3500907
"Altinópolis";"2020";"879";"902";"858";"1002";"1229";"1198";"1180";"1240";"1168";"969";"1000";"948";"859";"755";"587";"779";3501004
"Alto Alegre";"2020";"187";"193";"215";"217";"265";"284";"327";"300";"261";"266";"256";"282";"232";"237";"190";"305";3501103
"Alumínio";"2020";"1229";"1248";"1220";"1396";"1484";"1394";"1420";"1485";"1429";"1305";"1175";"957";"725";"583";"404";"518";3501152
"Álvares Florence";"2020";"131";"135";"161";"182";"248";"250";"227";"228";"211";"257";"314";"286";"266";"224";"215";"286";3501202
"Álvares Machado";"2020";"1298";"1320";"1386";"1678";"1872";"1948";"1883";"1653";"1650";"1667";"1672";"1495";"1261";"1011";"874";"1121";3501301
"Álvaro de Carvalho";"2020";"293";"285";"261";"265";"584";"756";"609";"419";"337";"244";"220";"188";"178";"145";"101";"159";3501400
"Alvinlândia";"2020";"236";"240";"216";"212";"280";"240";"234";"219";"254";"188";"185";"167";"153";"116";"97";"139";3501509
"Americana";"2020";"12668";"13230";"12279";"13184";"16251";"18551";"20277";"20227";"18184";"16518";"16291";"15522";"13430";"10108";"7189";"9549";3501608
"Américo Brasiliense";"2020";"2852";"2865";"2624";"2705";"3365";"3505";"3773";"3540";"3240";"2759";"2569";"1981";"1566";"1178";"801";"920";3501707
"Américo de Campos";"2020";"275";"279";"303";"346";"443";"406";"443";"398";"413";"350";"401";"412";"383";"277";"241";"366";3501806
"Amparo";"2020";"3724";"3870";"3615";"4091";"4887";"5428";"5925";"6053";"5249";"5031";"4618";"4421";"3909";"3123";"2286";"3409";3501905
"Analândia";"2020";"291";"286";"309";"335";"382";"425";"413";"405";"315";"322";"275";"279";"248";"180";"151";"234";3502002
"Andradina";"2020";"3135";"3315";"3068";"3268";"4057";"4232";"4286";"4132";"4207";"4023";"3828";"3727";"3218";"2549";"2099";"2910";3502101
"Angatuba";"2020";"1612";"1573";"1567";"1749";"2024";"2111";"1978";"1814";"1664";"1599";"1571";"1464";"1204";"966";"721";"884";3502200
"Anhembi";"2020";"441";"414";"462";"521";"624";"597";"499";"481";"483";"431";"396";"348";"308";"239";"179";"249";3502309
"Anhumas";"2020";"224";"219";"229";"276";"335";"330";"327";"288";"279";"250";"279";"247";"203";"159";"128";"190";3502408
"Aparecida";"2020";"2182";"2304";"2161";"2244";"2536";"2841";"2920";"2878";"2521";"2452";"2397";"2230";"2022";"1492";"1126";"1403";3502507
"Aparecida d'Oeste";"2020";"200";"201";"203";"250";"312";"299";"273";"221";"278";"288";"324";"286";"261";"263";"178";"295";3502606
"Apiaí";"2020";"1721";"1697";"1648";"1968";"2436";"2111";"1572";"1686";"1634";"1678";"1456";"1374";"1162";"917";"699";"907";3502705
"Aramina";"2020";"322";"331";"296";"325";"408";"457";"468";"440";"364";"348";"371";"386";"297";"234";"176";"273";3503000
"Arandu";"2020";"388";"380";"370";"426";"547";"546";"460";"427";"473";"401";"354";"363";"323";"267";"186";"254";3503109
"Arapeí";"2020";"148";"147";"160";"177";"205";"199";"176";"159";"147";"157";"178";"185";"129";"99";"71";"134";3503158
"Araraquara";"2020";"12307";"12824";"12094";"12715";"16316";"18285";"20098";"19780";"18180";"15567";"14819";"14445";"12475";"10046";"7514";"10153";3503208
"Araras";"2020";"7334";"7458";"7322";"7690";"9840";"10986";"11746";"11460";"10040";"9011";"8489";"8087";"7067";"5357";"3930";"5240";3503307
"Araçariguama";"2020";"1695";"1645";"1585";"1623";"1881";"1873";"1900";"1666";"1507";"1344";"1115";"953";"792";"541";"405";"455";3502754
"Araçatuba";"2020";"10124";"10720";"10412";"10727";"13412";"14025";"15117";"15478";"14700";"13911";"13648";"12938";"11053";"8861";"6453";"8890";3502804
