munic;codigo_ibge;latitude;longitude
São Paulo;3550308;-23.5329;-46.6395
Adamantina;3500105;-21.682;-51.0737
Adolfo;3500204;-21.2325;-49.6451
Aguaí;3500303;-22.0572;-46.9735
Águas da Prata;3500402;-21.9319;-46.7176
Águas de Lindóia;3500501;-22.4733;-46.6314
Águas de Santa Bárbara;3500550;-22.8812;-49.2421
Águas de São Pedro;3500600;-22.5977;-47.8734
Agudos;3500709;-22.4694;-48.9863
Alambari;3500758;-23.5503;-47.898
Alfredo Marcondes;3500808;-21.9527;-51.414
Altair;3500907;-20.5242;-49.0571
Altinópolis;3501004;-21.0214;-47.3712
Alto Alegre;3501103;-21.5811;-50.168
Alumínio;3501152;-23.5306;-47.2546
Álvares Florence;3501202;-20.3203;-49.9141
Álvares Machado;3501301;-22.0764;-51.4722
Álvaro de Carvalho;3501400;-22.0841;-49.719
Alvinlândia;3501509;-22.4435;-49.7623
Americana;3501608;-22.7374;-47.3331
Américo Brasiliense;3501707;-21.7288;-48.1147
Américo de Campos;3501806;-20.2985;-49.7359
Amparo;3501905;-22.7088;-46.772
Analândia;3502002;-22.1289;-47.6619
Andradina;3502101;-20.8948;-51.3786
Angatuba;3502200;-23.4917;-48.4139
Anhembi;3502309;-22.793;-48.1336
Anhumas;3502408;-22.2934;-51.3895
Aparecida;3502507;-22.8495;-45.2325
Aparecida d'Oeste;3502606;-20.4487;-50.8835
Apiaí;3502705;-24.5108;-48.8443
Araçariguama;3502754;-23.4366;-47.0608
Araçatuba;3502804;-21.2076;-50.4401
Araçoiaba da Serra;3502903;-23.5029;-47.6166
Aramina;3503000;-20.0882;-47.7873
Arandu;3503109;-23.1386;-49.0487
Arapeí;3503158;-22.6717;-44.4441
Araraquara;3503208;-21.7845;-48.178
Araras;3503307;-22.3572;-47.3842
Arco-Íris;3503356;-21.7728;-50.466
Arealva;3503406;-22.031;-48.9135
Areias;3503505;-22.5786;-44.6992
Areiópolis;3503604;-22.6672;-48.6681
Ariranha;3503703;-21.1872;-48.7904
Artur Nogueira;3503802;-22.5727;-47.1727
Arujá;3503901;-23.3965;-46.32
Aspásia;3503950;-20.16;-50.728
Assis;3504008;-22.66;-50.4183
Atibaia;3504107;-23.1171;-46.5563
Auriflama;3504206;-20.6836;-50.5572
Avaí;3504305;-22.1514;-49.3356
