datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7;pacientes_uti_ultimo_dia;total_covid_uti_ultimo_dia;ocupacao_leitos_ultimo_dia;internacoes_ultimo_dia;pacientes_enf_mm7d;total_covid_enf_mm7d;pacientes_enf_ultimo_dia;total_covid_enf_ultimo_dia
2020-05-19;Município de São Paulo;2268,43;2868,00;79,09;11869660;24,16;5049;4728;6,79;2402;2990;80,33;608;3447,14;4980,86;3498;5010
2020-05-19;Grande SP Leste;254,00;329,14;77,17;2977781;11,05;596;488;22,13;286;361;79,22;71;445,86;582,43;433;562
2020-05-19;Grande SP Norte;48,86;58,14;84,04;603465;9,63;120;110;9,09;55;63;87,30;13;87,57;160,86;99;160
2020-05-19;Grande SP Oeste;185,43;210,14;88,24;1858252;11,31;535;431;24,13;193;212;91,04;61;341,00;513,14;355;532
2020-05-19;Grande SP Sudeste;407,86;536,57;76,01;2690590;19,94;970;825;17,58;428;581;73,67;132;608,86;1006,71;595;1181
2020-05-19;Grande SP Sudoeste;62,00;98,86;62,71;1138499;8,68;339;288;17,71;63;101;62,38;44;206,71;354,43;217;369
2020-05-19;DRS 02 Araçatuba;12,71;46,71;27,21;764041;6,11;44;64;-31,25;12;49;24,49;6;29,43;234,14;24;234
2020-05-19;DRS 03 Araraquara;12,86;76,43;16,83;991435;7,71;160;70;128,57;17;85;20,00;15;48,00;263,57;47;260
2020-05-19;DRS 04 Baixada Santista;201,43;274,57;73,36;1831884;14,99;487;397;22,67;212;279;75,99;88;335,14;575,00;368;613
2020-05-19;DRS 05 Barretos;10,71;55,00;19,47;425090;12,94;91;55;65,45;15;52;28,85;11;28,14;128,43;29;121
2020-05-19;DRS 06 Bauru;60,43;118,14;51,15;1741281;6,78;268;191;40,31;62;120;51,67;28;131,43;483,71;129;487
2020-05-19;DRS 07 Campinas;285,43;572,71;49,84;4562125;12,55;656;552;18,84;313;567;55,20;103;300,71;1018,86;338;974
2020-05-19;DRS 08 Franca;11,14;31,43;35,44;696336;4,51;35;36;-2,78;8;31;25,81;6;11,14;83,00;9;87
2020-05-19;DRS 09 Marília;23,57;100,71;23,40;1109670;9,08;67;83;-19,28;18;106;16,98;9;36,57;317,43;42;321
2020-05-19;DRS 10 Piracicaba;47,14;114,86;41,04;1539600;7,46;135;116;16,38;45;111;40,54;10;66,14;219,57;57;215
2020-05-19;DRS 11 Presidente Prudente;21,86;42,57;51,35;752260;5,66;88;89;-1,12;21;42;50,00;12;48,71;218,29;49;211
2020-05-19;DRS 12 Registro;4,43;22,00;20,14;278754;7,89;19;12;58,33;8;22;36,36;5;7,00;52,43;8;52
2020-05-19;DRS 13 Ribeirão Preto;43,43;116,00;37,44;1477530;7,85;173;179;-3,35;41;115;35,65;15;55,86;295,00;53;296
2020-05-19;DRS 14 São João da Boa Vista;14,00;79,00;17,72;809836;9,76;74;65;13,85;13;78;16,67;4;39,57;304,29;56;309
2020-05-19;DRS 15 São José do Rio Preto;41,57;199,43;20,84;1570421;12,70;178;155;14,84;35;195;17,95;27;85,71;328,86;99;327
2020-05-19;DRS 16 Sorocaba;79,29;165,71;47,85;2461760;6,73;241;179;34,64;94;163;57,67;14;137,29;432,57;136;448
2020-05-19;DRS 17 Taubaté;84,00;206,86;40,61;2489629;8,31;311;249;24,90;87;211;41,23;46;128,14;570,43;154;568
2020-05-19;Estado de São Paulo;4180,57;6323,00;66,12;44639899;14,16;10636;9362;13,61;4428;6534;67,77;1328;6626,14;13124,00;6795;13337
2020-05-20;Município de São Paulo;2310,14;2912,71;79,31;11869660;24,54;5055;4752;6,38;2445;3012;81,18;780;3485,43;5021,43;3647;5119
2020-05-20;Grande SP Leste;256,14;333,29;76,85;2977781;11,19;612;495;23,64;256;332;77,11;105;439,14;574,86;428;550
2020-05-20;Grande SP Norte;50,71;60,57;83,72;603465;10,04;115;110;4,55;59;72;81,94;11;89,29;161,86;95;163
2020-05-20;Grande SP Oeste;186,57;211,71;88,13;1858252;11,39;539;446;20,85;195;214;91,12;79;347,71;521,86;358;529
2020-05-20;Grande SP Sudeste;410,71;551,00;74,54;2690590;20,48;986;829;18,94;412;604;68,21;157;617,71;1037,57;644;1182
2020-05-20;Grande SP Sudoeste;62,43;99,14;62,97;1138499;8,71;359;283;26,86;65;101;64,36;54;205,43;356,14;228;365
2020-05-20;DRS 02 Araçatuba;13,00;47,43;27,41;764041;6,21;49;62;-20,97;12;49;24,49;14;29,57;234,14;34;234
2020-05-20;DRS 03 Araraquara;13,57;77,86;17,43;991435;7,85;157;81;93,83;15;85;17,65;16;50,00;267,57;51;282
2020-05-20;DRS 04 Baixada Santista;206,57;277,86;74,34;1831884;15,17;512;408;25,49;210;296;70,95;86;346,00;589,29;375;642
2020-05-20;DRS 05 Barretos;11,71;55,00;21,29;425090;12,94;96;54;77,78;15;53;28,30;14;29,00;127,00;27;122
2020-05-20;DRS 06 Bauru;60,00;118,00;50,85;1741281;6,78;261;206;26,70;52;114;45,61;30;136,29;487,43;146;493
2020-05-20;DRS 07 Campinas;292,14;574,00;50,90;4562125;12,58;698;556;25,54;311;573;54,28;130;310,00;1013,29;336;969
2020-05-20;DRS 08 Franca;10,43;31,00;33,65;696336;4,45;39;34;14,71;10;31;32,26;7;11,57;83,57;11;87
2020-05-20;DRS 09 Marília;21,00;101,86;20,62;1109670;9,18;66;79;-16,46;13;104;12,50;9;37,86;320,43;40;321
2020-05-20;DRS 10 Piracicaba;47,71;114,00;41,85;1539600;7,40;141;117;20,51;44;112;39,29;24;66,00;219,71;60;225
2020-05-20;DRS 11 Presidente Prudente;21,14;42,29;49,99;752260;5,62;79;101;-21,78;21;42;50,00;15;47,71;217,43;47;208
2020-05-20;DRS 12 Registro;4,00;22,00;18,18;278754;7,89;18;10;80,00;4;22;18,18;1;7,43;52,43;9;52
2020-05-20;DRS 13 Ribeirão Preto;42,43;115,57;36,71;1477530;7,82;193;162;19,14;41;117;35,04;37;57,29;291,86;63;276
2020-05-20;DRS 14 São João da Boa Vista;14,86;79,00;18,81;809836;9,76;75;59;27,12;14;78;17,95;9;39,71;305,57;31;312
2020-05-20;DRS 15 São José do Rio Preto;41,43;200,57;20,66;1570421;12,77;182;154;18,18;41;200;20,50;31;86,86;335,57;85;366
2020-05-20;DRS 16 Sorocaba;82,57;165,43;49,91;2461760;6,72;253;181;39,78;89;162;54,94;38;139,71;442,14;144;486
2020-05-20;DRS 17 Taubaté;86,14;210,29;40,96;2489629;8,45;317;259;22,39;85;227;37,44;51;132,29;573,86;158;593
2020-05-20;Estado de São Paulo;4245,43;6400,57;66,33;44639899;14,34;10802;9438;14,45;4409;6600;66,80;1698;6712,00;13235,00;7017;13576
2020-05-21;Município de São Paulo;2341,57;2947,71;79,44;11869660;24,83;5136;4775;7,56;2401;3010;79,77;844;3525,71;5056,43;3673;5176
2020-05-21;Grande SP Leste;259,86;338,00;76,88;2977781;11,35;636;512;24,22;288;352;81,82;108;440,00;576,29;450;592
2020-05-21;Grande SP Norte;52,86;63,43;83,34;603465;10,51;108;120;-10,00;62;73;84,93;17;92,43;162,29;101;158
2020-05-21;Grande SP Oeste;189,86;214,00;88,72;1858252;11,52;530;483;9,73;202;220;91,82;80;356,00;526,71;391;551
2020-05-21;Grande SP Sudeste;418,14;561,14;74,52;2690590;20,86;1014;829;22,32;460;605;76,03;163;620,57;1059,57;627;1127
2020-05-21;Grande SP Sudoeste;63,71;99,57;63,99;1138499;8,75;370;270;37,04;73;101;72,28;43;211,57;357,57;230;364
2020-05-21;DRS 02 Araçatuba;13,14;47,86;27,46;764041;6,26;42;68;-38,24;11;47;23,40;7;28,71;233,29;30;228
2020-05-21;DRS 03 Araraquara;13,86;79,14;17,51;991435;7,98;167;79;111,39;13;84;15,48;25;53,14;271,71;61;283
2020-05-21;DRS 04 Baixada Santista;214,14;284,29;75,32;1831884;15,52;531;411;29,20;244;318;76,73;78;348,86;605,86;338;647
2020-05-21;DRS 05 Barretos;12,43;54,43;22,84;425090;12,80;92;63;46,03;11;52;21,15;11;28,86;126,57;25;122
2020-05-21;DRS 06 Bauru;61,00;119,00;51,26;1741281;6,83;254;223;13,90;62;123;50,41;35;135,29;488,29;126;469
2020-05-21;DRS 07 Campinas;294,71;574,29;51,32;4562125;12,59;728;562;29,54;295;586;50,34;116;317,86;999,29;327;904
2020-05-21;DRS 08 Franca;10,43;31,00;33,65;696336;4,45;43;33;30,30;11;31;35,48;6;12,14;84,00;16;88
2020-05-21;DRS 09 Marília;19,29;103,57;18,63;1109670;9,33;68;65;4,62;12;111;10,81;7;38,29;319,43;38;322
2020-05-21;DRS 10 Piracicaba;49,71;114,57;43,39;1539600;7,44;156;108;44,44;55;119;46,22;29;67,57;219,57;70;222
2020-05-21;DRS 11 Presidente Prudente;20,86;42,29;49,33;752260;5,62;90;92;-2,17;20;42;47,62;17;48,71;217,57;54;215
2020-05-21;DRS 12 Registro;4,00;22,00;18,18;278754;7,89;20;12;66,67;6;22;27,27;4;8,00;52,57;11;54
2020-05-21;DRS 13 Ribeirão Preto;42,43;113,86;37,27;1477530;7,71;202;143;41,26;41;104;39,42;32;60,14;289,57;67;281
2020-05-21;DRS 14 São João da Boa Vista;14,86;79,00;18,81;809836;9,76;70;67;4,48;15;79;18,99;10;40,29;306,57;34;309
2020-05-21;DRS 15 São José do Rio Preto;40,71;203,71;19,98;1570421;12,97;185;168;10,12;40;215;18,60;37;85,57;337,00;83;343
2020-05-21;DRS 16 Sorocaba;86,00;167,57;51,32;2461760;6,81;253;200;26,50;94;182;51,65;41;144,00;452,00;159;488
2020-05-21;DRS 17 Taubaté;87,57;210,29;41,64;2489629;8,45;328;271;21,03;92;205;44,88;52;139,29;575,57;165;580
2020-05-21;Estado de São Paulo;4311,14;6470,71;66,63;44639899;14,50;11023;9554;15,38;4508;6681;67,47;1762;6803,00;13317,71;7076;13523
2020-05-22;Município de São Paulo;2385,29;2971,71;80,27;11869660;25,04;5167;4803;7,58;2485;3048;81,53;773;3559,00;5054,71;3709;5140
2020-05-22;Grande SP Leste;266,57;343,00;77,72;2977781;11,52;665;523;27,15;292;347;84,15;111;443,14;579,29;479;607
2020-05-22;Grande SP Norte;54,57;65,57;83,22;603465;10,87;107;116;-7,76;63;72;87,50;14;94,29;159,57;96;158
2020-05-22;Grande SP Oeste;193,14;216,43;89,24;1858252;11,65;539;494;9,11;206;223;92,38;81;366,00;532,71;405;560
2020-05-22;Grande SP Sudeste;426,14;569,86;74,78;2690590;21,18;1043;831;25,51;463;593;78,08;182;635,71;1093,71;689;1207
2020-05-22;Grande SP Sudoeste;65,29;100,57;64,92;1138499;8,83;410;266;54,14;78;106;73,58;72;220,86;365,43;264;408
2020-05-22;DRS 02 Araçatuba;12,86;50,71;25,36;764041;6,64;40;63;-36,51;12;65;18,46;6;27,00;234,14;25;240
2020-05-22;DRS 03 Araraquara;14,00;79,57;17,59;991435;8,03;168;91;84,62;12;78;15,38;21;54,00;272,00;54;279
2020-05-22;DRS 04 Baixada Santista;218,29;290,71;75,09;1831884;15,87;516;427;20,84;235;320;73,44;75;353,86;622,14;367;662
2020-05-22;DRS 05 Barretos;12,57;53,86;23,34;425090;12,67;87;73;19,18;10;52;19,23;12;29,14;128,43;32;144
2020-05-22;DRS 06 Bauru;57,86;117,86;49,09;1741281;6,77;253;226;11,95;59;120;49,17;45;134,57;490,57;124;478
2020-05-22;DRS 07 Campinas;302,71;575,00;52,65;4562125;12,60;749;580;29,14;321;571;56,22;128;323,86;999,43;336;976
2020-05-22;DRS 08 Franca;10,14;31,00;32,71;696336;4,45;39;33;18,18;11;31;35,48;3;11,29;84,29;11;84
2020-05-22;DRS 09 Marília;18,00;104,14;17,28;1109670;9,38;63;60;5,00;15;105;14,29;11;38,43;318,57;35;312
