codigo_ibge;nome_munic;nome_ra;cod_ra;pop;area
3505401;Barra do Turvo;RA de Registro;16;7687;1007.68
3509254;Cajati;RA de Registro;16;28992;454.44
3509908;Cananéia;RA de Registro;16;12341;1237.35
3514809;Eldorado;RA de Registro;16;15236;1654.26
3520301;Iguape;RA de Registro;16;29465;1978.8
3520426;Ilha Comprida;RA de Registro;16;10296;196.57
3523305;Itariri;RA de Registro;16;17274;273.67
3524600;Jacupiranga;RA de Registro;16;17222;704.19
3526100;Juquiá;RA de Registro;16;18828;812.8
3529906;Miracatu;RA de Registro;16;19934;1001.48
3536208;Pariquera-Açu;RA de Registro;16;19251;359.41
3537206;Pedro de Toledo;RA de Registro;16;10977;670.44
3542602;Registro;RA de Registro;16;54216;722.2
3551801;Sete Barras;RA de Registro;16;12628;1062.7
3506359;Bertioga;RA de Santos;12;63290;491.55
3513504;Cubatão;RA de Santos;12;129145;142.88
3518701;Guarujá;RA de Santos;12;316405;144.79
3522109;Itanhaém;RA de Santos;12;98757;601.71
3531100;Mongaguá;RA de Santos;12;54610;143.21
3537602;Peruíbe;RA de Santos;12;66201;326.22
3541000;Praia Grande;RA de Santos;12;316844;149.25
3548500;Santos;RA de Santos;12;428703;281.03
3551009;São Vicente;RA de Santos;12;357929;148.1
3502507;Aparecida;RA de São José dos Campos;15;35709;121.08
3503158;Arapeí;RA de São José dos Campos;15;2471;156.9
3503505;Areias;RA de São José dos Campos;15;3843;305.23
3504909;Bananal;RA de São José dos Campos;15;10651;616.43
3508603;Cachoeira Paulista;RA de São José dos Campos;15;32231;287.99
3509700;Campos do Jordão;RA de São José dos Campos;15;50118;290.52
3509957;Canas;RA de São José dos Campos;15;5064;53.26
3510500;Caraguatatuba;RA de São José dos Campos;15;116106;484.95
3508504;Caçapava;RA de São José dos Campos;15;91217;368.99
3513405;Cruzeiro;RA de São José dos Campos;15;79927;305.7
3513603;Cunha;RA de São José dos Campos;15;21681;1407.25
3518404;Guaratinguetá;RA de São José dos Campos;15;118345;752.64
3520202;Igaratá;RA de São José dos Campos;15;9312;292.95
3520400;Ilhabela;RA de São José dos Campos;15;33470;346.39
3524402;Jacareí;RA de São José dos Campos;15;227945;464.27
3524907;Jambeiro;RA de São José dos Campos;15;6214;184.41
3526308;Lagoinha;RA de São José dos Campos;15;4819;255.47
3526605;Lavrinhas;RA de São José dos Campos;15;7167;167.07
3527207;Lorena;RA de São José dos Campos;15;86639;414.16
3531704;Monteiro Lobato;RA de São José dos Campos;15;4465;332.74
3532306;Natividade da Serra;RA de São José dos Campos;15;6698;833.37
3535606;Paraibuna;RA de São José dos Campos;15;18230;809.58
3538006;Pindamonhangaba;RA de São José dos Campos;15;163611;730
3538501;Piquete;RA de São José dos Campos;15;13647;176
3540754;Potim;RA de São José dos Campos;15;20702;44.47
3541901;Queluz;RA de São José dos Campos;15;12644;249.4
3542305;Redenção da Serra;RA de São José dos Campos;15;3837;309.44
3544301;Roseira;RA de São José dos Campos;15;10642;130.65
3546009;Santa Branca;RA de São José dos Campos;15;14179;272.24
3548203;Santo Antônio do Pinhal;RA de São José dos Campos;15;6628;133.01
3548609;São Bento do Sapucaí;RA de São José dos Campos;15;10530;252.58
3549607;São José do Barreiro;RA de São José dos Campos;15;4070;570.69
3549904;São José dos Campos;RA de São José dos Campos;15;710654;1099.41
3550001;São Luiz do Paraitinga;RA de São José dos Campos;15;10569;617.32
3550704;São Sebastião;RA de São José dos Campos;15;87135;402.4
3552007;Silveiras;RA de São José dos Campos;15;6204;414.78
3554102;Taubaté;RA de São José dos Campos;15;307361;625
3554805;Tremembé;RA de São José dos Campos;15;45978;191.09
3555406;Ubatuba;RA de São José dos Campos;15;88916;708.11
3500550;Águas de Santa Bárbara;RA de Sorocaba;13;5931;404.46
3500758;Alambari;RA de Sorocaba;13;5779;159.6
3501152;Alumínio;RA de Sorocaba;13;17972;83.66
3502309;Anhembi;RA de Sorocaba;13;6672;736.56
3502754;Araçariguama;RA de Sorocaba;13;20980;145.2
3502903;Araçoiaba da Serra;RA de Sorocaba;13;32390;255.33
3503604;Areiópolis;RA de Sorocaba;13;10857;85.91
3504503;Avaré;RA de Sorocaba;13;87538;1213.06
3506904;Bofete;RA de Sorocaba;13;11076;653.54
3507001;Boituva;RA de Sorocaba;13;57292;248.95
3507506;Botucatu;RA de Sorocaba;13;141135;1482.64
3510302;Capela do Alto;RA de Sorocaba;13;20542;169.89
3511409;Cerqueira César;RA de Sorocaba;13;19213;511.62
3511508;Cerquilho;RA de Sorocaba;13;46411;127.8
3511607;Cesário Lange;RA de Sorocaba;13;17248;190.39
3512308;Conchas;RA de Sorocaba;13;17134;466.12
3518503;Guareí;RA de Sorocaba;13;15750;567.88
3519253;Iaras;RA de Sorocaba;13;6894;401.38
3519709;Ibiúna;RA de Sorocaba;13;76430;1058.08
3521002;Iperó;RA de Sorocaba;13;34352;170.29
3522307;Itapetininga;RA de Sorocaba;13;160150;1789.35
3523503;Itatinga;RA de Sorocaba;13;20550;979.82
3523909;Itu;RA de Sorocaba;13;169772;640.72
3525854;Jumirim;RA de Sorocaba;13;3306;56.69
3526407;Laranjal Paulista;RA de Sorocaba;13;27834;384.27
