"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-04-26,"AL","Anadia","city",1,1,"True",17545,2700201,5.69963,1
2020-04-26,"AL","Arapiraca","city",4,0,"True",231747,2700300,1.72602,NA
2020-04-26,"AL","Atalaia","city",1,0,"True",47185,2700409,2.11932,NA
2020-04-26,"AL","Barra de Santo Antônio","city",1,0,"True",15932,2700508,6.27668,NA
2020-04-26,"AL","Boca da Mata","city",1,0,"True",27281,2701001,3.66555,NA
2020-04-26,"AL","Capela","city",1,0,"True",17053,2701704,5.86407,NA
2020-04-26,"AL","Delmiro Gouveia","city",1,0,"True",52016,2702405,1.92249,NA
2020-04-26,"AL","Ibateguara","city",1,1,"True",15616,2703007,6.40369,1
2020-04-26,"AL","Importados/Indefinidos","city",10,2,"True",NA,NA,NA,0.2
2020-04-26,"AL","Limoeiro de Anadia","city",1,1,"True",28635,2704203,3.49223,1
2020-04-26,"AL","Maceió","city",472,20,"True",1018948,2704302,46.32229,0.0424
2020-04-26,"AL","Maragogi","city",2,0,"True",32704,2704500,6.11546,NA
2020-04-26,"AL","Marechal Deodoro","city",12,2,"True",51901,2704708,23.12094,0.1667
2020-04-26,"AL","Maribondo","city",2,1,"True",13264,2704807,15.07841,0.5
2020-04-26,"AL","Matriz de Camaragibe","city",1,1,"True",24642,2705101,4.05811,1
2020-04-26,"AL","Murici","city",13,0,"True",28236,2705507,46.04052,NA
2020-04-26,"AL","Olho d'Água das Flores","city",1,0,"True",21688,2705705,4.61084,NA
2020-04-26,"AL","Palmeira dos Índios","city",6,0,"True",73218,2706307,8.19471,NA
2020-04-26,"AL","Paripueira","city",1,1,"True",13176,2706448,7.58956,1
2020-04-26,"AL","Piaçabuçu","city",2,0,"True",17827,2706802,11.21894,NA
2020-04-26,"AL","Pilar","city",3,0,"True",35111,2706901,8.54433,NA
2020-04-26,"AL","Porto Calvo","city",1,0,"True",27165,2707305,3.68121,NA
2020-04-26,"AL","Porto Real do Colégio","city",1,0,"True",20066,2707503,4.98355,NA
2020-04-26,"AL","Rio Largo","city",10,0,"True",75120,2707701,13.31203,NA
2020-04-26,"AL","Santa Luzia do Norte","city",1,0,"True",7296,2707909,13.70614,NA
2020-04-26,"AL","São Miguel dos Campos","city",1,0,"True",61251,2708600,1.63263,NA
2020-04-26,"AL","São Miguel dos Milagres","city",1,1,"True",7951,2708709,12.57703,1
2020-04-26,"AL","São Sebastião","city",1,0,"True",34152,2708808,2.92809,NA
2020-04-26,"AL","Satuba","city",5,0,"True",13828,2708907,36.15852,NA
2020-04-26,"AL","União dos Palmares","city",1,0,"True",65611,2709301,1.52413,NA
2020-04-26,"AL","Viçosa","city",1,1,"True",25733,2709400,3.88606,1
2020-04-26,"AL","","state",560,32,"True",3337357,27,16.77975,0.0571
2020-04-26,"AM","Amaturá","city",19,0,"True",11536,1300060,164.7018,NA
2020-04-26,"AM","Anamã","city",1,0,"True",13614,1300086,7.34538,NA
2020-04-26,"AM","Anori","city",18,0,"True",21010,1300102,85.67349,NA
2020-04-26,"AM","Autazes","city",26,2,"True",39565,1300300,65.71465,0.0769
2020-04-26,"AM","Barcelos","city",2,1,"True",27502,1300409,7.2722,0.5
2020-04-26,"AM","Benjamin Constant","city",18,0,"True",42984,1300607,41.87605,NA
2020-04-26,"AM","Beruri","city",7,1,"True",19679,1300631,35.57091,0.1429
2020-04-26,"AM","Boca do Acre","city",4,0,"True",34308,1300706,11.65909,NA
2020-04-26,"AM","Caapiranga","city",1,0,"True",13081,1300839,7.64468,NA
2020-04-26,"AM","Canutama","city",2,0,"True",15629,1300904,12.79672,NA
2020-04-26,"AM","Carauari","city",65,2,"True",28294,1301001,229.73068,0.0308
2020-04-26,"AM","Careiro","city",26,3,"True",37869,1301100,68.65774,0.1154
2020-04-26,"AM","Careiro da Várzea","city",4,0,"True",30225,1301159,13.23408,NA
2020-04-26,"AM","Coari","city",36,2,"True",85097,1301209,42.30466,0.0556
2020-04-26,"AM","Codajás","city",2,0,"True",28637,1301308,6.98397,NA
2020-04-26,"AM","Fonte Boa","city",0,0,"True",17609,1301605,NA,NA
2020-04-26,"AM","Humaitá","city",2,0,"True",55080,1301704,3.63108,NA
2020-04-26,"AM","Iranduba","city",92,5,"True",48296,1301852,190.49197,0.0543
2020-04-26,"AM","Itacoatiara","city",80,7,"True",101337,1301902,78.94451,0.0875
2020-04-26,"AM","Itapiranga","city",3,0,"True",9148,1302009,32.79405,NA
2020-04-26,"AM","Juruá","city",1,0,"True",14712,1302207,6.79717,NA
2020-04-26,"AM","Jutaí","city",3,0,"True",14317,1302306,20.95411,NA
2020-04-26,"AM","Lábrea","city",18,0,"True",46069,1302405,39.07183,NA
2020-04-26,"AM","Manacapuru","city",256,17,"True",97377,1302504,262.89576,0.0664
2020-04-26,"AM","Manaquiri","city",2,1,"True",32105,1302553,6.22956,0.5
2020-04-26,"AM","Manaus","city",2722,246,"True",2182763,1302603,124.70433,0.0904
2020-04-26,"AM","Manicoré","city",3,1,"True",55751,1302702,5.38107,0.3333
2020-04-26,"AM","Maraã","city",8,0,"True",18224,1302801,43.89816,NA
2020-04-26,"AM","Maués","city",56,6,"True",63905,1302900,87.63008,0.1071
2020-04-26,"AM","Nhamundá","city",1,0,"True",21173,1303007,4.723,NA
2020-04-26,"AM","Nova Olinda do Norte","city",3,0,"True",37378,1303106,8.02611,NA
2020-04-26,"AM","Novo Airão","city",2,1,"True",19454,1303205,10.28066,0.5
