"regiao","estado","data","casosNovos","casosAcumulados","obitosNovos","obitosAcumulados","date"
"Norte","RO","2020-01-30",0,0,0,0,2020-01-30
"Norte","RO","2020-01-31",0,0,0,0,2020-01-31
"Norte","RO","2020-02-01",0,0,0,0,2020-02-01
"Norte","RO","2020-02-02",0,0,0,0,2020-02-02
"Norte","RO","2020-02-03",0,0,0,0,2020-02-03
"Norte","RO","2020-02-04",0,0,0,0,2020-02-04
"Norte","RO","2020-02-05",0,0,0,0,2020-02-05
"Norte","RO","2020-02-06",0,0,0,0,2020-02-06
"Norte","RO","2020-02-07",0,0,0,0,2020-02-07
"Norte","RO","2020-02-08",0,0,0,0,2020-02-08
"Norte","RO","2020-02-09",0,0,0,0,2020-02-09
"Norte","RO","2020-02-10",0,0,0,0,2020-02-10
"Norte","RO","2020-02-11",0,0,0,0,2020-02-11
"Norte","RO","2020-02-12",0,0,0,0,2020-02-12
"Norte","RO","2020-02-13",0,0,0,0,2020-02-13
"Norte","RO","2020-02-14",0,0,0,0,2020-02-14
"Norte","RO","2020-02-15",0,0,0,0,2020-02-15
"Norte","RO","2020-02-16",0,0,0,0,2020-02-16
"Norte","RO","2020-02-17",0,0,0,0,2020-02-17
"Norte","RO","2020-02-18",0,0,0,0,2020-02-18
"Norte","RO","2020-02-19",0,0,0,0,2020-02-19
"Norte","RO","2020-02-20",0,0,0,0,2020-02-20
"Norte","RO","2020-02-21",0,0,0,0,2020-02-21
"Norte","RO","2020-02-22",0,0,0,0,2020-02-22
"Norte","RO","2020-02-23",0,0,0,0,2020-02-23
"Norte","RO","2020-02-24",0,0,0,0,2020-02-24
"Norte","RO","2020-02-25",0,0,0,0,2020-02-25
"Norte","RO","2020-02-26",0,0,0,0,2020-02-26
"Norte","RO","2020-02-27",0,0,0,0,2020-02-27
"Norte","RO","2020-02-28",0,0,0,0,2020-02-28
"Norte","RO","2020-02-29",0,0,0,0,2020-02-29
"Norte","RO","2020-03-01",0,0,0,0,2020-03-01
"Norte","RO","2020-03-02",0,0,0,0,2020-03-02
"Norte","RO","2020-03-03",0,0,0,0,2020-03-03
"Norte","RO","2020-03-04",0,0,0,0,2020-03-04
"Norte","RO","2020-03-05",0,0,0,0,2020-03-05
"Norte","RO","2020-03-06",0,0,0,0,2020-03-06
"Norte","RO","2020-03-07",0,0,0,0,2020-03-07
"Norte","RO","2020-03-08",0,0,0,0,2020-03-08
"Norte","RO","2020-03-09",0,0,0,0,2020-03-09
"Norte","RO","2020-03-10",0,0,0,0,2020-03-10
"Norte","RO","2020-03-11",0,0,0,0,2020-03-11
"Norte","RO","2020-03-12",0,0,0,0,2020-03-12
"Norte","RO","2020-03-13",0,0,0,0,2020-03-13
"Norte","RO","2020-03-14",0,0,0,0,2020-03-14
"Norte","RO","2020-03-15",0,0,0,0,2020-03-15
"Norte","RO","2020-03-16",0,0,0,0,2020-03-16
"Norte","RO","2020-03-17",0,0,0,0,2020-03-17
"Norte","RO","2020-03-18",0,0,0,0,2020-03-18
"Norte","RO","2020-03-19",0,0,0,0,2020-03-19
"Norte","RO","2020-03-20",1,1,0,0,2020-03-20
"Norte","RO","2020-03-21",0,1,0,0,2020-03-21
"Norte","RO","2020-03-22",2,3,0,0,2020-03-22
"Norte","RO","2020-03-23",0,3,0,0,2020-03-23
"Norte","RO","2020-03-24",0,3,0,0,2020-03-24
"Norte","RO","2020-03-25",2,5,0,0,2020-03-25
"Norte","RO","2020-03-26",0,5,0,0,2020-03-26
"Norte","RO","2020-03-27",1,6,0,0,2020-03-27
"Norte","RO","2020-03-28",0,6,0,0,2020-03-28
"Norte","RO","2020-03-29",0,6,0,0,2020-03-29
"Norte","RO","2020-03-30",0,6,0,0,2020-03-30
"Norte","RO","2020-03-31",2,8,1,1,2020-03-31
"Norte","RO","2020-04-01",1,9,0,1,2020-04-01
"Norte","RO","2020-04-02",1,10,0,1,2020-04-02
"Norte","RO","2020-04-03",0,10,0,1,2020-04-03
"Norte","RO","2020-04-04",1,11,0,1,2020-04-04
"Norte","RO","2020-04-05",1,12,0,1,2020-04-05
"Norte","RO","2020-04-06",2,14,0,1,2020-04-06
"Norte","RO","2020-04-07",4,18,0,1,2020-04-07
"Norte","RO","2020-04-08",0,18,0,1,2020-04-08
"Norte","RO","2020-04-09",10,28,1,2,2020-04-09
"Norte","RO","2020-04-10",4,32,0,2,2020-04-10
