datahora,semana_epidem
2020-01-01,1
2020-01-02,1
2020-01-03,1
2020-01-04,1
2020-01-05,2
2020-01-06,2
2020-01-07,2
2020-01-08,2
2020-01-09,2
2020-01-10,2
2020-01-11,2
2020-01-12,3
2020-01-13,3
2020-01-14,3
2020-01-15,3
2020-01-16,3
2020-01-17,3
2020-01-18,3
2020-01-19,4
2020-01-20,4
2020-01-21,4
2020-01-22,4
2020-01-23,4
2020-01-24,4
2020-01-25,4
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,5
2020-02-02,6
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,6
2020-02-09,7
2020-02-10,7
2020-02-11,7
2020-02-12,7
2020-02-13,7
2020-02-14,7
2020-02-15,7
2020-02-16,8
2020-02-17,8
2020-02-18,8
2020-02-19,8
2020-02-20,8
2020-02-21,8
2020-02-22,8
2020-02-23,9
2020-02-24,9
2020-02-25,9
2020-02-26,9
2020-02-27,9
2020-02-28,9
2020-02-29,9
2020-03-01,10
2020-03-02,10
2020-03-03,10
2020-03-04,10
2020-03-05,10
2020-03-06,10
2020-03-07,10
2020-03-08,11
2020-03-09,11
2020-03-10,11
2020-03-11,11
2020-03-12,11
2020-03-13,11
2020-03-14,11
2020-03-15,12
2020-03-16,12
2020-03-17,12
2020-03-18,12
2020-03-19,12
2020-03-20,12
2020-03-21,12
2020-03-22,13
2020-03-23,13
2020-03-24,13
2020-03-25,13
2020-03-26,13
2020-03-27,13
2020-03-28,13
2020-03-29,14
2020-03-30,14
2020-03-31,14
2020-04-01,14
2020-04-02,14
2020-04-03,14
2020-04-04,14
2020-04-05,15
2020-04-06,15
2020-04-07,15
2020-04-08,15
2020-04-09,15
2020-04-10,15
2020-04-11,15
2020-04-12,16
2020-04-13,16
2020-04-14,16
2020-04-15,16
2020-04-16,16
2020-04-17,16
2020-04-18,16
2020-04-19,17
2020-04-20,17
2020-04-21,17
2020-04-22,17
2020-04-23,17
2020-04-24,17
2020-04-25,17
2020-04-26,18
2020-04-27,18
2020-04-28,18
2020-04-29,18
2020-04-30,18
2020-05-01,18
2020-05-02,18
2020-05-03,19
2020-05-04,19
2020-05-05,19
2020-05-06,19
2020-05-07,19
2020-05-08,19
2020-05-09,19
2020-05-10,20
2020-05-11,20
2020-05-12,20
2020-05-13,20
2020-05-14,20
2020-05-15,20
2020-05-16,20
2020-05-17,21
2020-05-18,21
2020-05-19,21
2020-05-20,21
2020-05-21,21
2020-05-22,21
2020-05-23,21
2020-05-24,22
2020-05-25,22
2020-05-26,22
2020-05-27,22
2020-05-28,22
2020-05-29,22
2020-05-30,22
2020-05-31,23
2020-06-01,23
2020-06-02,23
2020-06-03,23
2020-06-04,23
2020-06-05,23
2020-06-06,23
2020-06-07,24
2020-06-08,24
2020-06-09,24
2020-06-10,24
2020-06-11,24
2020-06-12,24
2020-06-13,24
2020-06-14,25
2020-06-15,25
2020-06-16,25
2020-06-17,25
2020-06-18,25
2020-06-19,25
2020-06-20,25
2020-06-21,26
2020-06-22,26
2020-06-23,26
2020-06-24,26
2020-06-25,26
2020-06-26,26
2020-06-27,26
2020-06-28,27
2020-06-29,27
2020-06-30,27
2020-07-01,27
2020-07-02,27
2020-07-03,27
2020-07-04,27
2020-07-05,28
2020-07-06,28
2020-07-07,28
2020-07-08,28
2020-07-09,28
2020-07-10,28
2020-07-11,28
2020-07-12,29
2020-07-13,29
2020-07-14,29
2020-07-15,29
2020-07-16,29
2020-07-17,29
2020-07-18,29
2020-07-19,30
2020-07-20,30
2020-07-21,30
2020-07-22,30
2020-07-23,30
2020-07-24,30
2020-07-25,30
2020-07-26,31
2020-07-27,31
2020-07-28,31
2020-07-29,31
2020-07-30,31
2020-07-31,31
2020-08-01,31
2020-08-02,32
2020-08-03,32
2020-08-04,32
2020-08-05,32
2020-08-06,32
2020-08-07,32
2020-08-08,32
2020-08-09,33
2020-08-10,33
2020-08-11,33
2020-08-12,33
2020-08-13,33
2020-08-14,33
2020-08-15,33
2020-08-16,34
2020-08-17,34
2020-08-18,34
2020-08-19,34
2020-08-20,34
2020-08-21,34
2020-08-22,34
2020-08-23,35
2020-08-24,35
2020-08-25,35
2020-08-26,35
2020-08-27,35
2020-08-28,35
2020-08-29,35
2020-08-30,36
2020-08-31,36
2020-09-01,36
2020-09-02,36
2020-09-03,36
2020-09-04,36
2020-09-05,36
2020-09-06,37
2020-09-07,37
2020-09-08,37
2020-09-09,37
2020-09-10,37
2020-09-11,37
2020-09-12,37
2020-09-13,38
2020-09-14,38
2020-09-15,38
2020-09-16,38
2020-09-17,38
2020-09-18,38
2020-09-19,38
2020-09-20,39
2020-09-21,39
2020-09-22,39
2020-09-23,39
2020-09-24,39
2020-09-25,39
2020-09-26,39
2020-09-27,40
2020-09-28,40
2020-09-29,40
2020-09-30,40
2020-10-01,40
2020-10-02,40
2020-10-03,40
2020-10-04,41
2020-10-05,41
2020-10-06,41
2020-10-07,41
2020-10-08,41
2020-10-09,41
2020-10-10,41
2020-10-11,42
2020-10-12,42
2020-10-13,42
2020-10-14,42
2020-10-15,42
2020-10-16,42
2020-10-17,42
2020-10-18,43
2020-10-19,43
2020-10-20,43
2020-10-21,43
2020-10-22,43
2020-10-23,43
2020-10-24,43
2020-10-25,44
2020-10-26,44
2020-10-27,44
2020-10-28,44
2020-10-29,44
2020-10-30,44
2020-10-31,44
2020-11-01,45
2020-11-02,45
2020-11-03,45
2020-11-04,45
2020-11-05,45
2020-11-06,45
2020-11-07,45
2020-11-08,46
2020-11-09,46
2020-11-10,46
2020-11-11,46
2020-11-12,46
2020-11-13,46
2020-11-14,46
2020-11-15,47
2020-11-16,47
2020-11-17,47
2020-11-18,47
2020-11-19,47
2020-11-20,47
2020-11-21,47
2020-11-22,48
2020-11-23,48
2020-11-24,48
2020-11-25,48
2020-11-26,48
2020-11-27,48
2020-11-28,48
2020-11-29,49
2020-11-30,49
2020-12-01,49
2020-12-02,49
2020-12-03,49
2020-12-04,49
2020-12-05,49
2020-12-06,50
2020-12-07,50
2020-12-08,50
2020-12-09,50
2020-12-10,50
2020-12-11,50
2020-12-12,50
2020-12-13,51
2020-12-14,51
2020-12-15,51
2020-12-16,51
2020-12-17,51
2020-12-18,51
2020-12-19,51
2020-12-20,52
2020-12-21,52
2020-12-22,52
